Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
03.07.2023 18:00,Goiás,Coritiba,1,2,1.73,0.83,59%,41%,17,13,8,8,6,3,3,2,23,23,7,2,1,1,26,24,6,7,20,24,,,5,8,513,272,421,199,,,153,94,69,35,-1
02.07.2023 16:30,Cuiabá,Santos,3,0,1.36,0.29,49%,51%,14,5,6,2,5,1,3,2,17,8,9,5,1,1,26,36,2,3,7,16,,,0,2,369,412,280,330,,,109,77,46,32,3
02.07.2023 14:00,Athletico-PR,Palmeiras,2,2,4.10,1.41,53%,47%,27,11,6,5,18,4,3,2,12,20,7,2,1,4,18,12,3,4,19,8,0,1,4,2,455,364,378,291,,,119,111,52,29,0
02.07.2023 14:00,Atlético-MG,América-MG,2,2,1.16,3.24,49%,51%,12,22,5,6,2,11,5,5,23,16,4,7,1,3,13,16,4,3,16,19,1,0,3,2,364,441,288,357,,,75,130,29,54,0
02.07.2023 14:00,Botafogo,Vasco,2,0,1.46,0.85,56%,44%,16,10,6,4,5,5,5,1,13,10,4,8,0,1,19,21,4,4,10,14,,,2,5,484,351,407,274,,,129,85,60,39,2
02.07.2023 09:00,Corinthians,Bragantino,0,1,0.52,0.88,42%,58%,12,10,4,5,4,5,4,0,18,20,4,2,5,1,33,21,4,4,15,17,,,3,2,405,552,304,447,,,99,153,35,57,-1
01.07.2023 19:00,Internacional,Cruzeiro,0,0,1.72,0.65,50%,50%,14,9,3,3,9,6,2,0,14,13,2,4,1,1,20,19,3,3,12,15,0,1,6,4,540,461,464,392,,,108,109,72,39,0
01.07.2023 16:30,Bahia,Gremio,1,2,1.30,2.21,50%,50%,17,12,5,6,10,5,2,1,17,20,7,2,0,6,16,25,4,4,21,11,,,3,2,425,470,340,390,,,123,119,41,38,-1
01.07.2023 16:30,Flamengo,Fortaleza,2,0,1.34,1.49,50%,50%,10,15,4,6,4,6,2,3,12,13,5,4,1,2,16,29,6,2,12,14,,,2,0,554,357,476,293,,,133,98,50,43,2
01.07.2023 14:00,Sao Paulo,Fluminense,1,0,0.87,0.12,50%,50%,20,4,4,2,10,1,6,1,8,17,13,2,2,1,20,24,2,3,16,7,0,1,2,2,496,423,427,355,,,128,91,63,18,1
26.06.2023 19:00,Vasco,Cuiabá,1,0,1.92,0.46,48%,52%,8,12,2,3,4,5,2,4,17,20,4,6,3,5,22,17,3,1,18,13,,,5,3,383,446,317,361,,,99,126,51,41,1
25.06.2023 16:30,América-MG,Internacional,1,2,1.32,1.15,41%,59%,12,7,4,2,4,2,4,3,7,23,3,2,0,1,15,16,0,3,25,6,,,2,1,338,539,247,453,,,93,121,71,43,-1
25.06.2023 16:30,Bragantino,Goiás,2,0,1.72,0.20,58%,42%,20,4,6,0,10,2,4,2,29,18,10,4,0,6,23,25,0,4,17,24,,,2,2,487,307,404,236,,,116,73,60,20,2
25.06.2023 16:30,Santos,Flamengo,2,3,1.64,0.95,38%,62%,12,10,5,4,5,3,2,3,12,15,2,7,1,1,10,24,2,3,14,11,,,2,1,346,722,291,635,,,75,175,20,89,-1
25.06.2023 14:00,Gremio,Coritiba,5,1,3.36,1.23,48%,52%,18,16,9,7,7,7,2,2,20,13,8,5,2,4,21,20,6,4,10,16,0,1,2,4,377,379,298,307,,,96,116,47,33,4
25.06.2023 14:00,Palmeiras,Botafogo,0,1,2.70,0.71,56%,44%,12,5,5,2,4,3,3,0,13,20,12,1,4,1,29,16,1,5,17,12,,,0,3,539,291,437,212,,,140,72,80,24,-1
24.06.2023 19:00,Cruzeiro,Sao Paulo,1,0,0.96,0.94,36%,64%,6,13,0,7,5,3,1,3,23,15,6,5,1,8,15,21,7,0,14,15,,,1,3,271,651,195,579,,,78,129,52,68,1
24.06.2023 16:30,Fluminense,Bahia,2,1,2.57,1.13,51%,49%,17,13,10,3,7,9,0,1,9,12,9,10,2,0,19,17,2,8,9,11,1,0,1,0,457,479,384,398,,,120,97,43,53,1
24.06.2023 16:30,Fortaleza,Atlético-MG,2,1,0.72,1.02,43%,57%,10,17,3,4,2,11,5,2,11,10,3,8,1,1,13,15,3,1,10,12,0,1,1,1,412,597,350,525,,,103,117,27,35,1
24.06.2023 14:00,Athletico-PR,Corinthians,1,0,3.06,0.75,43%,57%,24,11,6,2,9,5,9,4,11,24,5,5,1,2,13,22,2,5,25,10,,,5,2,321,584,254,496,,,98,107,48,60,1
22.06.2023 19:30,Bragantino,Flamengo,4,0,3.32,0.65,54%,46%,30,6,12,0,9,6,9,0,7,4,17,2,2,2,22,21,0,8,2,5,,,,,531,353,441,275,,,156,67,85,30,4
22.06.2023 18:00,Coritiba,Internacional,0,1,1.75,0.85,48%,52%,15,5,3,4,10,0,2,1,18,24,10,5,1,6,15,33,3,3,22,14,,,2,4,391,384,313,307,,,104,106,37,25,-1
22.06.2023 18:00,Cuiabá,Botafogo,0,1,1.24,0.76,51%,49%,23,5,8,3,10,1,5,1,16,10,6,2,2,2,12,24,2,8,10,13,,,2,2,494,485,420,393,,,121,115,60,37,-1
22.06.2023 18:00,Vasco,Goiás,0,1,2.07,0.39,58%,42%,18,7,5,1,7,4,6,2,22,22,8,2,4,3,22,14,0,5,19,24,,,2,3,581,352,500,285,,,163,85,75,32,-1
22.06.2023 17:00,Gremio,América-MG,3,1,1.98,0.70,63%,37%,20,8,9,2,10,3,1,3,15,12,10,2,2,1,24,18,1,6,10,11,0,1,0,3,652,282,548,197,,,170,77,110,28,2
21.06.2023 19:30,Bahia,Palmeiras,1,0,0.75,0.93,47%,53%,6,9,3,1,2,7,1,1,22,22,6,8,6,7,18,17,1,2,18,16,,,4,3,399,448,319,363,,,110,116,56,37,1
21.06.2023 19:30,Fluminense,Atlético-MG,1,1,0.51,1.26,49%,51%,10,14,4,6,4,5,2,3,20,24,3,5,5,0,13,23,5,3,20,19,,,2,4,418,426,357,346,,,93,88,26,42,0
21.06.2023 18:00,Santos,Corinthians,0,2,1.06,1.26,50%,50%,12,10,4,4,5,5,3,1,15,17,5,2,0,1,21,18,2,4,17,14,,,2,4,426,439,360,366,,,120,75,51,26,-2
21.06.2023 17:00,Cruzeiro,Fortaleza,0,1,1.35,1.84,68%,32%,12,10,3,2,5,4,4,4,20,8,5,2,1,7,25,17,1,3,9,12,,,4,4,559,269,470,177,,,172,76,54,29,-1
